Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
06551-004-000,RE,Alachua,"$330,000 ",6/6/2019,"$339,000 ","$330,000 ",,96,48,9/10/2019,9/11/2019,,$113.00 ,$110.00 ,"$339,000 ",9/11/2019,CASH,520 NW 55TH Street,Gainesville,FL,32607,"3,000",1971,4,5,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,055 ",,,No,,Yes,,No,No
06670-010-013,RE,Alachua,"$230,000 ",5/17/2019,"$225,000 ","$230,000 ",,67,67,7/23/2019,7/24/2019,,$152.44 ,$155.83 ,"$225,000 ",7/24/2019,CONVENTIONAL,1030 SW 80th Terrace,Gainesville,FL,32607,"1,476",1988,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,697 ",,2,Yes,,No,,No,No
06677-100-043,RE,Alachua,"$250,000 ",6/7/2019,"$249,707 ","$250,000 ",,41,36,7/18/2019,7/20/2019,,$141.96 ,$142.13 ,"$249,707 ",7/20/2019,CONVENTIONAL,1756 SW 65TH Drive,Gainesville,FL,32607,"1,759",2005,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,120 ",,2,Yes,,No,,No,No
06014-013-006,RE,Alachua,"$153,500 ",6/7/2019,"$153,900 ","$153,500 ",,41,41,7/18/2019,7/24/2019,,$144.10 ,$143.73 ,"$149,900 ",7/24/2019,CONVENTIONAL,3110 NE 12th Street,Gainesville,FL,32609,"1,068",1966,2,3,0,New Construction,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$726 ,,,No,,No,,No,No
06015-002-046,RE,Alachua,"$279,900 ",4/1/2019,"$284,900 ","$279,900 ",,28,28,4/29/2019,4/30/2019,,$156.97 ,$154.21 ,"$284,900 ",4/30/2019,CASH,6545 NW 36TH Terrace,Gainesville,FL,32653,"1,815",1994,2,4,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,850 ",,2,Yes,,Yes,,No,No
07098-018-000,RE,Alachua,"$399,900 ",3/17/2017,"$399,900 ","$399,900 ",,87,87,6/12/2017,6/14/2017,,$99.23 ,$99.23 ,"$399,900 ",3/17/2017,CONVENTIONAL,7810 SW 75 Street,Gainesville,FL,32608,"4,030",1989,3,6,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,494 ",,2,Yes,,No,,No,No
07098-205-217,RE,Alachua,"$330,000 ",3/1/2017,"$349,900 ","$330,000 ",,107,107,6/16/2017,6/20/2017,,$109.28 ,$103.06 ,"$384,900 ",6/20/2017,CASH,8417 80th Place,Gainesville,FL,32608,"3,202",2006,4,5,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$7,387 ",,2,Yes,,No,PD,No,No
07247-010-009,RE,Alachua,"$475,000 ",7/9/2019,"$484,900 ","$475,000 ",,45,45,8/23/2019,8/29/2019,,$146.98 ,$143.98 ,"$484,900 ",8/29/2019,CASH,6815 SW 40th Terrace,Gainesville,FL,32608,"3,299",2007,3,5,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$7,100 ",,2,Yes,,No,,No,No
08202-144-000,RE,Alachua,"$139,000 ",3/26/2018,"$140,000 ","$139,000 ",,72,72,6/6/2018,6/11/2018,,$99.36 ,$98.65 ,"$140,000 ",6/11/2018,CONVENTIONAL,1030 NE 28TH Avenue,Gainesville,FL,32609,"1,409",1960,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$853 ,,,No,,Yes,,No,No
07098-001-128,RE,Alachua,"$243,000 ",10/9/2019,"$254,707 ","$243,000 ",,55,41,12/3/2019,12/10/2019,,$161.21 ,$153.80 ,"$254,707 ",12/10/2019,CASH,7755 SW 87TH Terrace,Gainesville,FL,32608,"1,580",2009,2,3,0,New Construction,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,944 ",,2,Yes,,No,,No,No
04222-100-151,RE,Alachua,"$532,936 ",5/2/2018,"$521,176 ","$532,936 ",,191,191,11/9/2018,11/25/2018,,$203.50 ,$208.10 ,"$521,176 ",11/25/2018,CASH,13735 NW 30th Road,Gainesville,FL,32606,"2,561",2018,3,4,0,New Construction,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$0 ,,2,Yes,,No,,No,No
04227-020-114,RE,Alachua,"$290,000 ",12/4/2017,"$279,000 ","$290,000 ",,59,59,2/1/2018,2/2/2018,,$134.46 ,$139.76 ,"$279,000 ",2/2/2018,VA,2540 NW 147th Street,Gainesville,FL,32669,"2,075",2007,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$3,609 ",,2,Yes,,No,,No,No
04321-201-062,RE,Alachua,"$243,000 ",6/8/2018,"$239,900 ","$243,000 ",,37,37,7/31/2018,7/31/2018,,$135.23 ,$136.98 ,"$239,900 ",7/31/2018,FHA,1212 NW 120th Terrace,Gainesville,FL,32606,"1,774",2006,2,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,458 ",,2,Yes,,No,,No,No
04321-401-084,RE,Alachua,"$233,000 ",5/6/2019,"$234,707 ","$233,000 ",,58,42,7/3/2019,7/12/2019,,$155.02 ,$153.90 ,"$234,707 ",7/12/2019,CONVENTIONAL,1718 NW 117TH Terrace,Gainesville,FL,32606,"1,514",1997,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,613 ",,2,Yes,,No,,No,No
06468-007-000,RE,Alachua,"$289,000 ",4/28/2018,"$299,900 ","$289,000 ",,75,59,7/12/2018,7/24/2018,,$117.01 ,$112.76 ,"$299,900 ",7/24/2018,CONVENTIONAL,601 NW 28TH Street,Gainesville,FL,32607,"2,563",1969,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$5,683 ",,2,Yes,,No,,No,No
10624-019-000,RE,Alachua,"$145,000 ",2/22/2018,"$145,000 ","$145,000 ",,32,31,3/26/2018,4/2/2018,,$101.61 ,$101.61 ,"$145,000 ",2/23/2018,FHA,1428 NE 22nd Avenue,Gainesville,FL,32609,"1,427",1960,1,3,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,225 ",,,No,,No,,No,No
06342-005-000,RE,Alachua,"$347,000 ",3/28/2019,"$357,000 ","$347,000 ",,41,41,5/8/2019,5/9/2019,,$124.30 ,$120.82 ,"$357,000 ",5/9/2019,CONVENTIONAL,6610 NW 16th Place,Gainesville,FL,32605-4110,"2,872",1970,3,5,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,630 ",,2,Yes,,No,,No,No
06860-230-016,RE,Alachua,"$349,900 ",4/12/2017,"$349,900 ","$349,900 ",,72,72,6/23/2017,6/26/2017,,$141.72 ,$141.72 ,"$349,900 ",4/12/2017,CONVENTIONAL,10017 SW 41st Road,Gainesville,FL,32608,"2,469",1992,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,896 ",,2,Yes,,No,,No,No
06840-012-003,RE,Alachua,"$277,056 ",9/23/2016,"$277,056 ","$277,056 ",,175,542,3/17/2017,3/22/2017,,$154.61 ,$154.61 ,"$268,900 ",8/23/2016,CONVENTIONAL,3466 SW 74th Way,Gainesville,FL,32608,"1,792",2016,2,3,1,New Construction,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$0 ,,2,Yes,,No,,No,No
06840-012-004,RE,Alachua,"$275,000 ",9/23/2015,"$275,763 ","$275,000 ",,587,583,5/2/2017,5/4/2017,,$153.54 ,$153.12 ,"$268,900 ",5/4/2017,CONVENTIONAL,3458 SW 74th Way,Gainesville,FL,32608,"1,796",2015,2,3,1,New Construction,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$0 ,,2,Yes,,No,,No,No
08985-007-005,RE,Alachua,"$134,000 ",5/10/2019,"$132,000 ","$134,000 ",,31,32,6/10/2019,6/12/2019,,$135.38 ,$137.44 ,"$132,000 ",6/12/2019,CONVENTIONAL,1716 NW 31ST Place,Gainesville,FL,32605,975,1978,1,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,025 ",,1,Yes,,No,,No,No
08491-000-000,RE,Alachua,"$69,000 ",6/6/2017,"$69,900 ","$69,000 ",,20,19,6/27/2017,6/30/2017,,$56.01 ,$55.29 ,"$69,900 ",6/30/2017,CONVENTIONAL,630 NW 34 Place,Gainesville,FL,32609,"1,248",1946,3,3,0,,Exclusive Agency,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,$801 ,,1,Yes,,No,RSF-3,Undisclosed,No
07350-046-147,RE,Alachua,"$262,000 ",5/16/2017,"$269,900 ","$262,000 ",,45,45,6/30/2017,8/7/2017,,$149.36 ,$144.99 ,"$269,900 ",8/7/2017,VA,10184 SW 92nd Street,Gainesville,FL,32608,"1,807",2009,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,278 ",,2,Yes,,No,,No,No
7814100130,RE,Alachua,"$215,000 ",3/26/2019,"$219,900 ","$215,000 ",,52,52,5/17/2019,5/17/2019,,$125.59 ,$122.79 ,"$219,900 ",5/17/2019,CONVENTIONAL,7714 NW 20th Way,Gainesville,FL,32609,"1,751",2017,2,4,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,206 ",,2,Yes,,No,,No,No
07891-020-122,RE,Alachua,"$208,000 ",9/10/2019,"$208,000 ","$208,000 ",,51,49,10/31/2019,11/1/2019,,$146.17 ,$146.17 ,"$208,000 ",9/12/2019,CONVENTIONAL,4916 NW 20th Terrace,Gainesville,FL,32605,"1,423",2005,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,256 ",,2,Yes,,No,,No,No
06665-010-007,RE,Alachua,"$410,000 ",2/8/2017,"$433,999 ","$410,000 ",,106,106,6/2/2017,6/7/2017,,$143.33 ,$135.40 ,"$450,000 ",6/7/2017,CASH,1206 SW 105 Terrace,Gainesville,FL,32607,"3,028",2007,3,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$6,026 ",,2,Yes,,No,,No,No
06668-020-008,RE,Alachua,"$169,900 ",1/13/2017,"$169,900 ","$169,900 ",,70,70,4/24/2017,4/27/2017,,$100.65 ,$100.65 ,"$169,900 ",1/13/2017,OTHER,1205 SW 75 Drive,Gainesville,FL,32607,"1,688",1977,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,074 ",,,No,,Yes,,No,No
06668-020-025,RE,Alachua,"$210,000 ",7/30/2019,"$210,000 ","$210,000 ",,60,60,10/1/2019,10/9/2019,,$174.13 ,$174.13 ,"$210,000 ",7/30/2019,CONVENTIONAL,1209 SW 76th Drive,Gainesville,FL,32607,"1,206",1976,2,3,0,Other,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,634 ",,,No,,Yes,,No,No
06014-013-006,RE,Alachua,"$173,250 ",6/8/2019,"$173,250 ","$173,250 ",,55,55,8/2/2019,8/7/2019,,$125.73 ,$125.73 ,"$173,250 ",6/8/2019,FHA,6329 NW 31st Terrace,Gainesville,FL,32653,"1,378",1979,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,763 ",,2,Yes,,No,,No,No
6014024052,RE,Alachua,"$143,300 ",10/22/2017,"$169,000 ","$143,300 ",,58,48,12/19/2017,12/29/2017,,$131.01 ,$111.09 ,"$169,000 ",12/29/2017,CONVENTIONAL,6111 NW 28th Terrace,Gainesville,FL,32653,"1,290",1988,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$937 ,,,No,,Yes,,No,No
07098-001-193,RE,Alachua,"$260,000 ",5/16/2018,"$260,707 ","$260,000 ",,47,47,7/2/2018,7/9/2018,,$151.31 ,$150.90 ,"$260,707 ",7/9/2018,FHA,7848 SW 87TH Terrace,Gainesville,FL,32608,"1,723",2007,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,743 ",,2,Yes,,No,,No,No
07098-100-030,RE,Alachua,"$289,000 ",3/7/2018,"$289,000 ","$289,000 ",,57,57,5/3/2018,5/24/2018,,$121.84 ,$121.84 ,"$289,000 ",3/7/2018,FHA,7657 SW 85th Drive,Gainesville,FL,32608,"2,372",2005,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,439 ",,2,Yes,,No,,No,No
07178-010-010,RE,Alachua,"$213,000 ",7/5/2019,"$215,000 ","$213,000 ",,25,25,7/30/2019,8/1/2019,,$157.97 ,$156.50 ,"$215,000 ",8/1/2019,CONVENTIONAL,2151 SW 41ST Lane,Gainesville,FL,32608,"1,361",1998,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,145 ",,2,Yes,,Yes,R-1A,No,No
07199-002-040,RE,Alachua,"$220,000 ",6/18/2018,"$232,500 ","$220,000 ",,78,78,9/4/2018,9/6/2018,,$132.93 ,$125.79 ,"$232,500 ",9/6/2018,CONVENTIONAL,1710 SW 49TH Place,Gainesville,FL,32608,"1,749",1963,2,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,706 ",,2,Yes,,No,,No,No
07280-010-007,RE,Alachua,"$345,000 ",3/22/2018,"$355,000 ","$345,000 ",,68,68,5/29/2018,5/30/2018,,$115.79 ,$112.52 ,"$355,000 ",5/30/2018,CONVENTIONAL,3955 SW 21st Drive,Gainesville,FL,32608,"3,066",2006,3,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$6,547 ",,2,Yes,,No,,No,No
06386-010-006,RE,Alachua,"$252,000 ",2/28/2017,"$260,000 ","$252,000 ",,266,266,1/31/2018,2/2/2018,,$132.25 ,$128.18 ,"$285,000 ",2/2/2018,CONVENTIONAL,1022 NW 42nd Drive,Gainesville,FL,32606,"1,966",1991,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,587 ",,2,Yes,,No,PD,No,No
06400-084-000,RE,Alachua,"$225,000 ",11/14/2019,"$220,850 ","$225,000 ",,36,34,12/20/2019,12/23/2019,,$127.81 ,$130.21 ,"$220,850 ",12/23/2019,CONVENTIONAL,3557 NW 10th Avenue,Gainesville,FL,32605,"1,728",1961,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,500 ",,,No,,No,,No,No
06415-010-025,RE,Alachua,"$395,000 ",5/3/2017,"$385,000 ","$395,000 ",,170,170,10/20/2017,10/23/2017,,$144.25 ,$148.00 ,"$399,000 ",10/23/2017,CONVENTIONAL,3508 NW 18th Avenue,Gainesville,FL,32605,"2,669",2001,2,3,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$6,327 ",,2,Yes,,No,,No,No
06438-021-000,RE,Alachua,"$200,000 ",8/8/2019,"$205,000 ","$200,000 ",,53,53,9/30/2019,10/3/2019,,$100.84 ,$98.38 ,"$205,000 ",10/3/2019,VA,1219 NW 25th Terrace,Gainesville,FL,32605,"2,033",1958,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$2,039 ",,,No,,No,RSF-1,No,No
 12541-000-000,RE,Alachua,"$190,000 ",2/12/2018,"$204,900 ","$190,000 ",,79,79,5/2/2018,7/27/2018,,$158.59 ,$147.06 ,"$214,900 ",7/27/2018,CONVENTIONAL,723 NE 8th Avenue,Gainesville,FL,32601,"1,292",1950,1,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,247 ",,1,Yes,,No,,No,No
06377-010-016,RE,Alachua,"$355,000 ",6/21/2017,"$369,000 ","$355,000 ",,191,191,12/29/2017,1/3/2018,,$153.69 ,$147.86 ,"$387,500 ",1/3/2018,CASH,5008 NW 10th Place,Gainesville,FL,32605,"2,401",2004,2,4,1,,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,827 ",,2,Yes,,No,,No,No
10124-000-000,RE,Alachua,"$119,707 ",8/2/2019,"$119,707 ","$119,707 ",,105,72,11/15/2019,11/15/2019,,$104.55 ,$104.55 ,"$119,707 ",9/4/2019,CONVENTIONAL,1816 NE 8TH Street,Gainesville,FL,32609,"1,145",1950,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$796 ,,,No,,No,,No,No
16189-001-004,RE,Alachua,"$100,000 ",5/2/2017,"$99,900 ","$100,000 ",,59,59,6/30/2017,8/7/2017,,$72.39 ,$72.46 ,"$92,500 ",8/7/2017,FHA,2008 SE 45th Terrace,Gainesville,FL,32641,"1,380",2007,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,160 ",,,No,,No,,No,No
16214-005-003,RE,Alachua,"$177,500 ",4/18/2019,"$177,500 ","$177,500 ",,43,43,5/31/2019,6/3/2019,,$121.91 ,$121.91 ,"$169,900 ",4/22/2019,CONVENTIONAL,3018 SE 29th Lane,Gainesville,FL,32641,"1,456",1979,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,298 ",,1,Yes,,Yes,,No,No
08232-012-000,RE,Alachua,"$142,000 ",8/16/2019,"$144,707 ","$142,000 ",,76,43,10/31/2019,10/31/2019,,$125.61 ,$123.26 ,"$149,707 ",10/31/2019,CASH,2939 NE 9th Street,Gainesville,FL,32609,"1,152",1983,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,842 ",,,No,,No,,No,No
6071010054,RE,Alachua,"$238,000 ",6/1/2019,"$237,999 ","$238,000 ",,39,39,7/10/2019,7/10/2019,,$99.75 ,$99.75 ,"$237,999 ",7/10/2019,CONVENTIONAL,4706 NW 42nd Street,Gainesville,FL,32606,"2,386",1973,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,204 ",,,No,,No,,No,No
06082-010-088,RE,Alachua,"$159,900 ",4/8/2019,"$159,900 ","$159,900 ",,42,42,5/20/2019,5/21/2019,,$149.72 ,$149.72 ,"$159,900 ",4/8/2019,CONVENTIONAL,4435 NW 28th Terrace,Gainesville,FL,32605,"1,068",1978,1,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$917 ,,1,Yes,,No,,No,No
04211-331-093,RE,Alachua,"$252,000 ",7/31/2018,"$249,900 ","$252,000 ",,42,39,9/11/2018,9/12/2018,,$133.71 ,$134.83 ,"$249,900 ",9/12/2018,CONVENTIONAL,11338 NW 33rd Avenue,Gainesville,FL,32606,"1,869",2001,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,489 ",,2,Yes,,No,,No,No
04321-052-051,RE,Alachua,"$175,000 ",3/9/2017,"$179,900 ","$175,000 ",,67,67,5/15/2017,5/17/2017,,$139.03 ,$135.24 ,"$189,900 ",5/17/2017,FHA,1654 120th Way,Gainesville,FL,32606,"1,294",2007,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,328 ",,2,Yes,,No,,No,No
06196-017-000,RE,Alachua,"$139,000 ",9/4/2019,"$144,000 ","$139,000 ",,26,24,9/30/2019,10/1/2019,,$95.43 ,$92.11 ,"$144,000 ",10/1/2019,CASH,6001 NW 35th Place,Gainesville,FL,32606,"1,509",1984,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,364 ",,2,Yes,,No,,No,No
15393-000-000,RE,Alachua,"$381,000 ",3/8/2019,"$385,000 ","$381,000 ",,49,49,4/26/2019,5/7/2019,,$225.01 ,$222.68 ,"$385,000 ",5/9/2019,CONVENTIONAL,2216 NW 5th Place,Gainesville,FL,32603,"1,711",1950,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$5,270 ",,,No,,Yes,,No,No
15439-000-000,RE,Alachua,"$280,000 ",2/21/2018,"$329,000 ","$280,000 ",,111,111,6/12/2018,6/12/2018,,$160.72 ,$136.79 ,"$349,000 ",6/12/2018,CASH,2044 NW 7th Place,Gainesville,FL,32603,"2,047",1948,3,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,180 ",,,No,,Yes,,No,No
06840-010-037,RE,Alachua,"$267,500 ",6/28/2019,"$279,900 ","$267,500 ",,91,91,9/27/2019,10/1/2019,,$144.80 ,$138.39 ,"$299,900 ",10/1/2019,CONVENTIONAL,3494 SW 72nd Way,Gainesville,FL,32608,"1,933",2007,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$5,762 ",,2,Yes,,No,,No,No
06860-010-048,RE,Alachua,"$203,000 ",8/15/2018,"$199,707 ","$203,000 ",,38,38,11/15/2018,11/16/2018,,$147.49 ,$149.93 ,"$198,707 ",11/16/2018,CONVENTIONAL,8516 SW 55TH Place,Gainesville,FL,32608,"1,354",1984,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,855 ",,2,Yes,,No,,No,No
06860-081-027,RE,Alachua,"$310,000 ",4/12/2017,"$319,900 ","$310,000 ",,86,86,7/7/2017,7/10/2017,,$152.84 ,$148.11 ,"$319,900 ",7/10/2017,CONVENTIONAL,5434 SW 91 Terrace,Gainesville,FL,32608,"2,093",1990,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,221 ",,2,Yes,,Yes,,No,No
06868-001-000,RE,Alachua,"$100,000 ",6/11/2018,"$115,000 ","$100,000 ",,111,110,11/7/2018,11/8/2018,,$96.80 ,$84.18 ,"$115,000 ",11/8/2018,CASH,4410 SW 63rd Boulevard,Gainesville,FL,32608,"1,188",1994,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,059 ",,,No,,No,,No,No
10600-069-000,RE,Alachua,"$132,500 ",10/3/2019,"$135,000 ","$132,500 ",,71,71,12/13/2019,12/16/2019,,$122.73 ,$120.45 ,"$135,000 ",12/16/2019,CONVENTIONAL,927 NE 10TH Avenue,Gainesville,FL,32601,"1,100",1955,1,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$575 ,,,No,,No,,No,No
06234-230-006,RE,Alachua,"$195,700 ",12/16/2017,"$199,999 ","$195,700 ",,107,107,4/2/2018,4/2/2018,,$128.29 ,$125.53 ,"$210,000 ",4/2/2018,CASH,10531 NW 36 Place,Gainesville,FL,32606,"1,559",1986,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,850 ",,2,Yes,,No,,No,No
06308-020-122,RE,Alachua,"$385,000 ",7/13/2018,"$389,900 ","$385,000 ",,24,24,8/6/2018,8/6/2018,,$148.36 ,$146.50 ,"$389,900 ",8/6/2018,CASH,1736 NW 100 Drive,Gainesville,FL,32606-4044,"2,628",2007,4,5,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,776 ",,2,Yes,,No,,No,No
06326-010-071,RE,Alachua,"$220,000 ",8/15/2019,"$217,707 ","$220,000 ",,97,28,11/20/2019,11/27/2019,,$158.33 ,$160.00 ,"$217,707 ",11/27/2019,CASH,1235 NW 89TH Terrace,Gainesville,FL,32606,"1,375",1997,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,292 ",,2,Yes,,Yes,R-1A,No,No
635206200,RE,Alachua,"$125,600 ",9/27/2018,"$125,000 ","$125,600 ",,42,41,11/8/2018,11/9/2018,,$144.68 ,$145.37 ,"$125,000 ",11/9/2018,CONVENTIONAL,1511 NW 55th Terrace,Gainesville,FL,32605,864,1960,1,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$956 ,,,No,,No,,No,No
6354020019,RE,Alachua,"$520,000 ",3/31/2017,"$599,000 ","$520,000 ",,108,108,7/20/2017,7/24/2017,,$146.71 ,$127.36 ,"$625,000 ",7/24/2017,CONVENTIONAL,1113 NW 58 Terrace,Gainesville,FL,32605,"4,083",2003,5,5,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$8,983 ",,2,Yes,,Yes,,No,No
13623-000-000,RE,Alachua,"$207,000 ",8/7/2018,"$223,900 ","$207,000 ",,170,251,3/20/2019,3/21/2019,,$161.54 ,$149.35 ,"$229,900 ",3/21/2019,VA,407 NW 8TH Street,Gainesville,FL,32601,"1,386",1925,1,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,773 ",,,No,,No,,No,No
06985-010-021,RE,Alachua,"$264,000 ",2/3/2017,"$274,900 ","$264,000 ",,84,84,4/28/2017,5/2/2017,,$163.15 ,$156.68 ,"$274,900 ",5/2/2017,VA,4874 SW 63rd Lane,Gainesville,FL,32608,"1,685",2015,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$5,405 ",,2,Yes,,No,,No,No
07054-032-060,RE,Alachua,"$431,100 ",2/7/2019,"$439,000 ","$431,100 ",,42,42,3/21/2019,3/21/2019,,$175.04 ,$171.89 ,"$439,000 ",3/21/2019,CONVENTIONAL,6614 SW 90 Street,Gainesville,FL,32608,"2,508",2012,3,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$5,763 ",,2,Yes,,Yes,,No,No
04427-111-069,RE,Alachua,"$508,785 ",6/29/2018,"$508,785 ","$508,785 ",,62,0,8/30/2018,9/3/2018,,$165.84 ,$165.84 ,"$508,785 ",9/3/2018,CONVENTIONAL,2723 SW 118th Terrace,Gainesville,FL,32608,"3,068",2015,3,4,1,New Construction,Exclusive Bldr Master List Ag,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$7,233 ",,2,Yes,,No,,No,No
