Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
06655-113-604,AT,Alachua,"$40,000 ",9/10/2018,"$41,420 ","$40,000 ",,214,214,4/12/2019,4/22/2019,$59.00 ,,$56.98 ,"$45,900 ",4/22/2019,CASH,6519 W NEWBERRY Road 604,Gainesville,FL,32605,702,1972,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$696 ,,,No,,,,Yes,No
06750-010-003,AT,Alachua,"$145,500 ",5/10/2019,"$152,900 ","$145,500 ",,39,39,6/18/2019,6/24/2019,$134.01 ,,$127.52 ,"$164,900 ",6/24/2019,CASH,4288 SW 22nd Lane 103,Gainesville,FL,32607,"1,141",2006,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,986 ",,,No,,,,No,No
06860-516-301,AT,Alachua,"$160,000 ",6/10/2019,"$160,000 ","$160,000 ",,58,58,8/7/2019,8/8/2019,$147.06 ,,$147.06 ,"$160,000 ",6/10/2019,CONVENTIONAL,4850 SW 91 Terrace P301,Gainesville,FL,32608,"1,088",2003,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,538 ",,,No,,,,No,No
06680-010-061,AT,Alachua,"$122,000 ",2/27/2019,"$124,900 ","$122,000 ",,58,58,5/28/2019,5/29/2019,$112.93 ,,$110.31 ,"$124,900 ",5/29/2019,CONVENTIONAL,900 SW 62nd Boulevard J61,Gainesville,FL,32607,"1,106",1985,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,758 ",,,No,,,,No,No
06680-103-085,AT,Alachua,"$144,500 ",5/27/2017,"$149,900 ","$144,500 ",,124,124,9/28/2017,9/28/2017,$89.07 ,,$85.86 ,"$154,900 ",9/28/2017,CONVENTIONAL,4949 SW 10th Lane,Gainesville,FL,32606,"1,683",1985,2,3,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,$16 ,,1,Yes,,,,No,No
06680-031-005,AT,Alachua,"$98,900 ",8/28/2017,"$98,900 ","$98,900 ",,23,23,9/20/2017,9/22/2017,$72.19 ,,$72.19 ,"$98,900 ",8/28/2017,CASH,5730 SW 8TH Place,Gainesville,FL,32607,"1,370",1987,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$674 ,,,No,,,,Yes,No
14956-311-000,AT,Alachua,"$207,500 ",1/10/2019,"$220,000 ","$207,500 ",,60,60,3/11/2019,3/20/2019,$239.13 ,,$225.54 ,"$215,000 ",3/20/2019,CASH,1500 NW 4th Avenue 311,Gainesville,FL,32603,920,2008,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,218 ",,1,Yes,,,,No,No
09003-011-261,AT,Alachua,"$73,900 ",5/8/2017,"$79,900 ","$73,900 ",,107,107,8/23/2017,8/28/2017,$74.67 ,,$69.07 ,"$89,000 ",8/28/2017,CONVENTIONAL REHAB,1810 NW 23rd Boulevard 261,Gainesville,FL,32605,"1,070",1972,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$3,000 ",,,No,,,,No,No
06234-240-005,AT,Alachua,"$135,000 ",6/5/2019,"$140,000 ","$135,000 ",,36,36,7/11/2019,7/11/2019,$102.41 ,,$98.76 ,"$140,000 ",7/11/2019,CONVENTIONAL,3432 NW 104th Way,Gainesville,FL,32606,"1,367",1989,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,192 ",,,No,,,,No,No
12195-001-002,AT,Alachua,"$115,000 ",5/4/2018,"$125,000 ","$115,000 ",,63,65,7/6/2018,7/15/2018,$135.43 ,,$124.59 ,"$125,000 ",7/15/2018,CASH,747 SE 2nd Place 2,Gainesville,FL,32601,923,1972,1,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,396 ",,,No,,,,No,No
13199-010-018,AT,Alachua,"$55,000 ",11/10/2017,"$65,000 ","$55,000 ",,153,153,4/12/2018,4/24/2018,$70.81 ,,$59.91 ,"$65,000 ",4/24/2018,CASH,914 SW 8th Avenue 18,Gainesville,FL,32601,918,1969,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$956 ,,,No,,,,No,No
09003-003-185,AT,Alachua,"$87,500 ",3/16/2017,"$89,500 ","$87,500 ",,57,58,5/12/2017,5/15/2017,$70.03 ,,$68.47 ,"$89,500 ",5/15/2017,CASH,1810 NW 23 Boulevard 185,Gainesville,FL,32605,"1,278",1972,2,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,352 ",,,No,,,,No,No
06234-250-023,AT,Alachua,"$145,000 ",5/21/2018,"$149,000 ","$145,000 ",,57,57,7/17/2018,7/18/2018,$111.95 ,,$108.94 ,"$149,000 ",7/18/2018,CONVENTIONAL,3411 NW 103 Drive,Gainesville,FL,32606,"1,331",1989,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,520 ",,1,Yes,,,,No,No
13199-010-014,AT,Alachua,"$57,000 ",6/28/2017,"$63,000 ","$57,000 ",,100,99,11/9/2017,11/9/2017,$68.63 ,,$62.09 ,"$63,000 ",11/9/2017,CASH,914 SW 8th Avenue 14,Gainesville,FL,32601,918,1969,2,4,0,,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,070 ",,,No,,,,No,No
 13199-010-034,AT,Alachua,"$52,000 ",4/28/2017,"$61,000 ","$52,000 ",,52,52,7/13/2017,7/17/2017,$62.76 ,,$53.50 ,"$61,000 ",7/17/2017,CASH,914 SW 8th Avenue 11,Gainesville,FL,32601,972,1969,2,4,0,,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$948 ,,,No,,,,No,No
06655-113-606,AT,Alachua,"$59,000 ",9/13/2019,"$59,000 ","$59,000 ",,52,52,11/4/2019,11/5/2019,$84.05 ,,$84.05 ,"$59,000 ",9/13/2019,CASH,6519 W Newberry Rd,Gainesville,FL,32605,702,1972,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$679 ,,,No,,,,No,No
06724-103-301,AT,Alachua,"$101,000 ",2/13/2017,"$106,900 ","$101,000 ",,97,95,5/31/2017,6/7/2017,$90.90 ,,$85.88 ,"$102,900 ",6/7/2017,CASH,3901 SW 20th Avenue 301,Gainesville,FL,32607,"1,176",2001,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,573 ",,,No,,,,No,No
06853-121-202,AT,Alachua,"$136,000 ",6/22/2017,"$139,900 ","$136,000 ",,22,22,7/14/2017,7/26/2017,$118.36 ,,$115.06 ,"$139,900 ",7/26/2017,CASH,9158 51st Road J202,Gainesville,FL,32608,"1,182",2006,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,104 ",,,No,,,,No,No
06860-150-088,AT,Alachua,"$129,900 ",7/14/2017,"$134,900 ","$129,900 ",,102,75,11/3/2017,11/10/2017,$96.36 ,,$92.79 ,"$134,900 ",11/10/2017,CONVENTIONAL,5283 SW 97 Way,Gainesville,FL,32608,"1,400",1995,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,513 ",,,No,,,,No,No
09013-011-041,AT,Alachua,"$120,000 ",9/11/2018,"$128,000 ","$120,000 ",,42,41,10/23/2018,10/23/2018,$99.77 ,,$93.53 ,"$128,000 ",10/23/2018,CASH,1719 NW 23 Avenue 4A,Gainesville,FL,32605,"1,283",1972,1,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,688 ",,,No,,,,No,No
06579-054-053,AT,Alachua,"$170,000 ",9/16/2019,"$169,500 ","$170,000 ",,39,39,10/25/2019,10/25/2019,$112.40 ,,$112.73 ,"$169,500 ",10/25/2019,CONVENTIONAL,310 NW 50th Boulevard,Gainesville,FL,32607,"1,508",1999,2,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,147 ",,1,Yes,,,,No,No
06877-138-002,AT,Alachua,"$87,500 ",2/12/2019,"$89,900 ","$87,500 ",,100,100,5/24/2019,5/28/2019,$80.99 ,,$78.83 ,"$94,900 ",5/28/2019,CONVENTIONAL,4313 SW 69 Terrace,Gainesville,FL,32608,"1,110",1984,2,2,1,Other,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,466 ",,,No,,,,No,No
06500-133-000,AT,Alachua,"$80,000 ",7/10/2018,"$83,750 ","$80,000 ",,171,171,12/28/2018,12/28/2018,$93.06 ,,$88.89 ,"$83,750 ",12/28/2018,CASH,507 NW 39TH Road 133,Gainesville,FL,32607,900,1976,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$461 ,,,No,,,,No,No
06500-163-000,AT,Alachua,"$95,000 ",4/10/2018,"$99,000 ","$95,000 ",,108,108,7/27/2018,8/1/2018,$66.89 ,,$64.19 ,"$94,900 ",8/1/2018,CASH,507 NW 39TH Road 163,Gainesville,FL,32607,"1,480",1976,2,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,492 ",,1,No,,,,No,No
06701-108-000,AT,Alachua,"$89,500 ",9/27/2019,"$89,500 ","$89,500 ",,19,19,10/16/2019,10/21/2019,$99.44 ,,$99.44 ,"$89,500 ",9/27/2019,CASH,3600 SW 19TH Avenue 8,Gainesville,FL,32607,900,1984,1,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,245 ",,,No,,,,No,No
06680-020-021,AT,Alachua,"$119,500 ",2/6/2019,"$122,500 ","$119,500 ",,30,30,3/8/2019,3/11/2019,$110.76 ,,$108.05 ,"$122,500 ",3/11/2019,CASH,924 SW 55TH Terrace,Gainesville,FL,32607,"1,106",1987,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,679 ",,,No,,,,No,No
